<Hash=0xB412CAF>	One of us... One of us...
<Hash=0x1B86870D>	I can't! Then they'd know... Nevermind.
<Hash=0x18868254>	No worries, ghoul. I've gotta figure this out on my own.
<Hash=0x643F3A51>	Wait! I know what to do... but I'm going to need your help. I need you to find me some Purple Scarrots. They grow outside near the graveyard. Bring them to Cooking Club tomorrow.
<Hash=0xCE21D662>	<Grumble>
<Hash=0xC821CCF0>	Nothing.
<Hash=0xD521E167>	Without even a pinch of salt!?
<Hash=0xE4C0F710>	I'm just watching you all make these horrific mistakes! And it's making my snakes stand on end!
<Hash=0xE6C0FA36>	YES! I can cook, OK? And you know what? I'm Clawsome at it, dude.
<Hash=0xE8C0FD5C>	Because... I didn't want anyone to know. But can I show you a couple of things?
<Hash=0xEAC10082>	<name>, you got the scarrots right?
<Hash=0xEDC1053B>	That rocks! Now watch - let me show you how it's done!
<Hash=0xECC103A8>	Now taste this!
<Hash=0x76B98E21>	This soup is on the menu tomorrow. We have more than enough scarrots to make it for everyone.
<Hash=0x79B992DA>	Thanks, <name>. I couldn't have done it without you. I don't know why I was so afraid to tell them. Well, tomorrow is a new day, and I feel like a new monster.
<Hash=0xA235D9A7>	Nooooooo!!! I can't take this anymore!
<Hash=0xA30EE3C6>	Come on people, we have to move faster.
<Hash=0xA670DC42>	What do you need, <name>? We're a little busy in here today.
<Hash=0x5AA65FC7>	Heh, thanks. You know what... since you're here, I could actually use your help.
<Hash=0x5BA6615A>	Actually yes! You can.
<Hash=0xA570DAAF>	I need some fresh garlic for a special scareghetti I want to make. Find me some garlic and bring it back here.
<Hash=0xA270D5F6>	Thanks so much, you're saving my scales ghoul! This garlic looks scary-delicious.
<Hash=0xA070D2D0>	Good point... We'll have to let the vampires know that the scareghetti has garlic in it.
<Hash=0xA170D463>	Thanks again for the help <name>. Come back some other time. We could always use the extra claws.
<Hash=0xA10EE0A0>	Well, we have to feed the hungry student bodies of Monster High.
<Hash=0xA70EEA12>	Because, practice makes perfect... Elissabat, would you mind?
<Hash=0xA50EE6EC>	Invisi Billy, please cut the onions.
<Hash=0xAB0EF05E>	Because you're invisible... so you can cut it without shedding a tear! Or, at least we won't see it if you do.
<Hash=0x74A87E0B>	Oh! <name>, you're just in time! We're making the special now!
<Hash=0x82B94B80>	Great! Scurry back once you're done.
<Hash=0x85B95039>	That's cool. We can do it later.
<Hash=0xDE3EB3BB>	Ah, you're back. What did you find out?
<Hash=0xDD3EB228>	Whoa! That's a coffin load of boo foods to try. This is going to be great. Thanks for the help.
<Hash=0x75A87F9E>	Hey guys, let's get going on the scareghetti!
<Hash=0x79A885EA>	Pretty creeperific, right? It's like a well-coiled machine. In fact, I think we could take on more work.
<Hash=0x7AA8877D>	And I was thinking... what if we cooked students' favorite dishes? That would be sick!
<Hash=0x6BA86FE0>	<name>, I need you go get around and ask the students what some of their faves are. We're going to give them the total scream of the crop.
<Hash=0xF8202590>	Hey! <name>, wow, am I glad you're here. I need you to do something for me.
<Hash=0x3D9B3F99>	Done!
<Hash=0x409B4452>	Ah it's no big deal.
<Hash=0x419B45E5>	(Whisper) Thank you! I couldn't have done it without you.
<Hash=0xFC202BDC>	Yeah... So that's happening. I think we bit off more than we could chew with this one. Honestly, we're in trouble.
<Hash=0x6FAA98D9>	I know! Look, there's only one way we're getting through this, and that's with your help.
<Hash=0x6CAA9420>	Please don't go. We're in enough hot water as it is and I need your help!
<Hash=0x12033BB>	I need you to find Gigi! She promised me a wish a while ago. Time to call that in.
<Hash=0x203228>	Go now... Hurry! Ask Gigi to help us through it!
<Hash=0x4A585A15>	Oh, hey <name>. What brings you to the cooking club?
<Hash=0xEA7CCBFA>	Great! Just bring it back here once you've found it.
<Hash=0x2D15E6AC>	Thanks! Come back tomorrow and we'll get those treats ready for the Fashion Club.
<Hash=0x7110418A>	Oh, the Fashion Club need some treats for their show? That's cool.
<Hash=0x465853C9>	Sure we can! This team can do anything.
<Hash=0x445850A3>	We'll need some ingredients to get started on it.
<Hash=0x5158651A>	I need you to hunt down some Eye-Scream for us.
<Hash=0x514D4214>	Well, we can't do anything without it. Come back if you change your mind.
<Hash=0x3850EC50>	Wait... The Robotics Club built a functioning Robot? That's fangtastic! Great idea. Talk to Robecca and see if we can borrow it.
<Hash=0x3B50F109>	I bet Robecca can come up with a plan... go ask her if there's anything she can do for us.
<Hash=0x2A845737>	Wow... That's scary-cool.
<Hash=0x6CCF68E7>	No! Elissabat, get the pasta.
<Hash=0x208208E2>	DON'T VANISH ON ME NOW, INVISI BILLY, WE'RE ALMOST THERE.
<Hash=0x1F82074F>	<name>, this is incredible! The Robot just turned up and... and... finished everything! Thank you! You really helped us out of a bind there, not to mention saved the fashion show!
<Hash=0xBBACBD58>	Well, I've learned my lesson. Don't bite off more than you can chew.
<Hash=0xBEACC211>	Thanks <robotname>. We couldn't have done this without you.
<Hash=0x1B820103>	Yeah... let's fly over to the fashion show to support the ghouls.
<Hash=0x69CF642E>	Squid? We're not even making squid!!
<Hash=0x68CF629B>	Oh, <name>. Bad time, what do you need?
<Hash=0xEC72AC7C>	Yes, look I know! But, there's no way we can finish all this.
<Hash=0xEF72B135>	Jinafire is just going to have to wait! We're just too busy right now. There's no way we can finish all this.
<Hash=0x65CF5DE2>	Hey, if you can think of some way we can get through this, then I'd be eternally grateful.
<Hash=0xDDC72946>	Hey there Newbie! I've been hearing some good rumors about you. Sounds like you're really starting to leave your mark here at Monster High - keep it up! Sooo, let me guess why you're here... I'll wager that the Council needs the Cooking Club to help with the Bake Sale and that Toralei sent you over because I owe her one. Am I right?!
<Hash=0xC036BD04>	I knew it!!!
<Hash=0xC336C1BD>	Really?!! My radar must be on the fritz... Hmmmm... you're pulling my leg, aren't you?
<Hash=0xEBC97DE7>	Nice try New Ghoul. Toralei sent me a text about it earlier.
<Hash=0xE8C9792E>	That Toralei, she never forgets doing anyone a favor. That's why she makes a great Council President. She's always got an IOU or two up her sleeve to get things rolling. Just between you and me, everyone's so jazzed about the Fundraiser, the Cooking Club would've helped anyway. But keep that between us, what Toralei doesn't know won't hurt her, and it means that it's one less that I owe her. I'll have those Creepilicious Cookies to you by tomorrow's Council Meeting...
<Hash=0xE9C97AC1>	Sheesh, students keep coming to me about cooking stuff. Better be careful to keep it under wraps. I love it, but it's gonna wreck my rep as the school's 'Number 1' jock!!!
<Hash=0x89F361E7>	Oh, OK... Well no time to fang out today, sorry. Gotta bounce.
<Hash=0xF926ADD>	Hmmmm, if you're not here to try some of my tasty treats, that only leaves Council business. Let me guess. You're here to ask the Cooking Club for help again. You'd like us to bake up some Casketball Cookies for the next Fundraiser. Am I right?
<Hash=0x337975E2>	Hah... I got it in one! Toralei's, still got a few IOUs up her sleeve. Same deal as last time? You keep quiet about the fact that the Cooking Club's jazzed about the Fundraiser, and I'll get rid of another favor that I owe Toralei... Sound good?
<Hash=0x3279744F>	Nah... I'm not falling for that one again! Fool me once shame on me, fool me twice shame on me... again? Sheesh... I never get that right!
<Hash=0xB926491>	Yeah, why not have a laugh at the expense of the gorgon? It's not easy looking this cool while rockin' an apron, ya know?! That's why I like keepin' my culinary exploits on the down low. Gotta keep up appearances!
<Hash=0xA9262FE>	Same deal as last time? You keep quiet about the fact that the Cooking Club's jazzed about the Fundraiser, and I'll get rid of another favor that I owe Toralei... Sound good?
<Hash=0x8925FD8>	WOW!!! Double the order, the Council are really looking at changing things for the better around here. It's a good time to be a student at Monster High. I'll get those Casketball Cookies over to you by tomorrow's Council Meeting...
<Hash=0x7925E45>	Man, gotta love that flat screen TV in the creepateria. Now I can watch my fave show Ever After High, while I'm eating lunch. Just can't let anyone know my guilty little secret!
<Hash=0x2FB564D9>	Hey Ghoul, it's you again! Couldn't resist my cooking, right?
<Hash=0xCEA71F42>	You've got a biting sense of humor, New Ghoul.
<Hash=0xCDA71DAF>	Ouch! Well, that wasn't the confidence booster I was hoping for.
<Hash=0xC2BAED1C>	Hey! New Ghoul, it's good to see ya again! Have you thought any further about joining the Fearleading Team? Fearleaders are the coolest ghouls in school and we help to boost Team Spirit at sporting events.

I think you'd make a fangtastic member of the Fearleading Team. You've got the right look and with a little hard work you'd learn the routines in no time. You never know, there's even a chance you could become the Captain of the Fearleading Team. So how about it? Would you like to join the Fearleaders?
<Hash=0xD7AF01A9>	Hi, it's nice to meet you! So, you're thinking about joining the Fearleading Team. A lot of people don't know this, but it's not just about learning Fear Routines. Being a Fearleader is actually all about boosting school spirit - it's one of the most important things a ghoul can do. So, lets catch up later and I'll put in a good word with Cleo the Team Captain.

Oh, by the way, have you met Lagoona yet? No? Oh, I just have to introduce you! She's a part of the Student Council, so if you're interested in that sort of thing, she's your ghoul!
<Hash=0xD6AF0016>	Hey Lagoona, over here! I'd like you to meet the New Ghoul. I was telling her all about Fearleading and thought she should meet you in case she'd like to join the Student Council too...
<Hash=0x6EFE3892>	That's totally fangtastic! I can already see that you'll be a great addition to the Team!!! Look, I've got a few errands to run before Fearleading starts at LUNCH. How about you meet me there, and I'll introduce you to the Team. I've updated your iCoffin MAPP with the deets. I'll catch ya there!
<Hash=0xEB5C1034>	Really well! We've almost got everything locked down with the 2nd set of cosmic moves and the routine's really starting to come together. Oh, by the way, Happy Birthday Cleo!
<Hash=0x703CB0C7>	Oh a clue? Hmm, let's see... TWAER. Is that some kind of dance? Maybe REAWT... No, I don't think that's a real word.
<Hash=0xDF71942>	We sure have! I'm the one who put in a good word for her with Cleo. It's fangtastic that you made the team, the Fearleaders can always use some new blood! I just can't wait 'till we start practicing some new routines, it's gonna be scary-cool...
<Hash=0xB7FDDE69>	I heard a million stories from my grandfather, but he could tell me them, so I guess the answer isn't him.
<Hash=0xDB90AD3B>	She sure does! I just knew she was going to fit right in. She's totally fangtastic!
<Hash=0x60A62713>	Sure is...
<Hash=0x468F98F3>	What's that all about?
<Hash=0x66A63085>	Well, it's pointless complaining about it. It's like this every year...
<Hash=0x64A62D5F>	You're right, Frankie... Anyway, we'd better get started practicing that second set of cosmic fearleading steps. If Cleo turns up and we're not practicing, we'll never hear the end of it!!!
<Hash=0x333FC2EB>	Where is Cleo! Do you think it's gonna be a repeat of last year?
<Hash=0x865FBB9B>	That just makes no sense... I mean, what would Cleo be doing at the Student Council, anyway? Weirder still, why was she talking to Spectra? And running off without saying a word, well, that's just not Cleo! It's downright bizarre!!!
<Hash=0x8C5FC50D>	True! Cleo loves to win, but she thrives under pressure. I can't believe she'd crack. But, what's really weird is, I saw her talking to Spectra this morning, just before lunch!!!
<Hash=0xC53F2652>	That riddle is familiar. It's probably got something to do with acting, or dancing or something. Maybe the clothes that models wear?
<Hash=0x353FC611>	Hey New Ghoul, have you seen Cleo around?
<Hash=0xF864EC3F>	Enough with the Cleo stuff already. Let's get this practice pumping!!!
<Hash=0x373FC937>	Hm, that's strange. What was she doing at the Council?
<Hash=0xE4BC45E6>	Not since we passed the Creepateria. Where could she have gone?!
<Hash=0xE7BC4A9F>	Sounds good! New Ghoul, you head back to the Casketball Court. Clawdeen, you try the Classrooms, Frankie, you check the Study Howl, and I'll head for the Library...
<Hash=0x77C3E914>	That's right! We actually thought you might have been lost or injured. That's really not cool Cleo!
<Hash=0x6EC19C52>	Cleo seems to be getting worse... What is going on around here?!
<Hash=0xBEB77708>	Come on, begore it's too late!
<Hash=0x4A909732>	And all over your silly amulet... that's harsh!
<Hash=0xADA4AD5A>	Hey, don't look so gloomy, the fearleaders have been through much worse before. I'm sure it'll all blow over soon.
<Hash=0xC73D0297>	Other times when she got upset she would bounce back in a couple of days. Not this time...
<Hash=0xBE3AB5D5>	I agree! I think we need to speak with Cleo sooner rather than later. It's like she's getting worse and worse with each passing day...
<Hash=0xBA3AAF89>	I just hope, it doesn't make things worse...
<Hash=0xB73AAAD0>	Nothing could be worse than they are now!
<Hash=0x302BBA1A>	Nup! It's not you. She's gone totally 'ga-ga' on us!!!
<Hash=0x2B2BB23B>	Well, that went well, didn't it?!
<Hash=0x172DD156>	Get serious ghouls, Cleo actually called us a bunch of traitors!!! She's obviously got a few screws loose, no offence Frankie.
<Hash=0x162DCFC3>	I think you're right we'd better be extra careful. Cleo's kooky behaviour definitely wasn't normal, so we should try to get to the bottom it. Keep our eyes peeled and ears to the ground to find out what's happening out there in the halls of Monster High...
<Hash=0x192DD47C>	I'm in!
<Hash=0x1D30195F>	Boy, I hope this means less drama in the fearleading team!
<Hash=0x8CC08DB0>	I really don't know. But I do think, it's one of the few options left to us. If we do nothing, someone could actually get hurt. We can't let that happen...
<Hash=0x8FC09269>	Not to mention, the way you've been treating the rest of us lately. No fearleader should have to put up with that sort of behaviour...
<Hash=0x9FDECCCD>	So true! If Her Majesty wasn't here, we wouldn't have a chance to win the Monster Nationals. Cleo helps us be the best fearleaders we can. We should be thanking her, not throwing her off the team!!!
<Hash=0xF759724A>	HHHEEELLLLLPPPP!! ROCHELLE IS STUCK IN THE GRAVEYARD! CAN ANYONE HELP?
<Hash=0xF65970B7>	Rochelle! Don't be afraid, we're trying to work something out...
<Hash=0xF15968D8>	Our hero has come to save the day!
<Hash=0x208F60C5>	Something seems terribly wrong. I should go after him.
<Hash=0x908FF02F>	A little bat told me that yesterday's lunch caused a few visits to the school nurse.
<Hash=0x35A59C67>	Bonita, did you remember to add the vinegrrr?
<Hash=0xC6B516A9>	Why didn't you say anything? We could obviously use the help!
<Hash=0xCEB761D8>	Oh this is going to blow the lid off the casket in the creepateria!
<Hash=0x37A59F8D>	Invisi Billy! Do we put vinegrrr in this?
<Hash=0x2CA58E3C>	!?
<Hash=0xB81D4259>	Just a sec...
<Hash=0xB352FAF9>	Reducing the tomatoes!
<Hash=0x52AA1F0D>	That was pretty impressive.
<Hash=0xD82C3DC4>	Oh, it's a Cooking Club catastrophe!
<Hash=0x1310264>	Soooo, I guess that's a wrap for today?
<Hash=0xE8F678C7>	Hello... excuse me, but could I trouble you for some help? I'm about to put on a solo performance here, and I've been practicing my lines for days now.
<Hash=0xB3006CD5>	It's been a big part of my life. But you can't do it alone, it'd be too hard. Why, no one could even enjoy it without... Er... Line?
<Hash=0x71A68F4A>	without friends!
<Hash=0x70A68DB7>	without... spoons.
<Hash=0xB000681C>	Because I like to dig deeper, and get to the bottom of it. Because I want more... I want to have a full... (Uh... Line?)
<Hash=0x819E59B5>	a full life!
<Hash=0x7E9E54FC>	a full... breakfast!
<Hash=0x599BDC26>	Ghoul! You really saved my veins! You are the wind beneath my batwings.
<Hash=0x589BDA93>	That was OK... I guess. Thanks for your help.
<Hash=0x579BD900>	Total disaster! I can't believe that went so horribly!
<Hash=0x6DBE8DE4>	Nailed it like a coffin! Thanks again for your help!
<Hash=0x70BE929D>	I'm getting there. Hauntlywood, here I come... again!
<Hash=0x6FBE910A>	Looks like Breakfast speaks to people as much as purpose. Who knew?
<Hash=0xE9F67A5A>	I just need for someone to know the lines I get stuck on and prompt me if it looks like I'm having trouble. Can you do that?
<Hash=0x65F327AB>	OK Great! Thank you! Now I need you to remember the following words.
<Hash=0x66F3293E>	Oh, I understand. Well, maybe you could come back when you have the time.
<Hash=0xE4F6727B>	Purpose, Friends, Life.
<Hash=0xE5F6740E>	OK, are you ready? Let's do this.
<Hash=0xE6F675A1>	The internal drive, the infinite thirst for meaning is what pushes us into the light. I couldn't be here today without... Uh... line?
<Hash=0x71EC7ECA>	without purpose!
<Hash=0x70EC7D37>	without... grapefruit!
<Hash=0xED9C29C7>	10... 10... 10...
<Hash=0xEF9C2CED>	(cheering) THREE CHEERS FOR OUR FEARLEADERS: FRANKIE, LAGOONA, CATTY... AND OF COURSE, THE NEW GHOUL!!! HIP, HIP... HOORAY!! HIP, HIP HOORAY!!!
<Hash=0x11EF3514>	Yeah, it seems like the smartest move.
<Hash=0xE11E719B>	It's not that we don't agree with you, Deuce. It's just, we only have one chance at this, so it has to be done right! If we mess this up, we'll be handing over the school and all of our friends on a silver platter...
<Hash=0xE71E7B0D>	That could make things even worse. We don't know how Spookenkhamun would react to a direct attack. He could hurt everyone under his control. You wouldn't want that, would you?
<Hash=0xE51E77E7>	And we won't! But we need to think very carefully about our next move...
<Hash=0xDA1E6696>	That sounds good to me, as long as we all play it safe. We really need the intel, but not at the expense of our allies becoming infected with the curse...
<Hash=0xBEC3888E>	So, let me get this straight?! This King Spookenkhamun guy completely took over Toralei and then spoke through her mouth? How totally freaky is that?
<Hash=0xBCC38568>	So, what do we do then?! It's easy enough to warn the un-cursed students at Monster High. But, how do we actually stop Spookenkhamun's plan from happening?!
<Hash=0xC3C3906D>	Well, that's all well and good Deuce. But we still have to come up with a plan. If we mess this up, the whole of Monster High will be under Spookenkhamun's control...
<Hash=0xB6C37BF6>	We've gotta come up with something that won't fail, everyone is counting on us!
<Hash=0x2559F91>	Well, I know Cleo pretty well, and... well, remember when she dropped her amulet in Fearleading Practice? She was overcome with how amazing we were. If we can do that again, then we can distract Cleo!



 We could set up a new Fearleading Team and go up against the Cursed Fearleaders at the Monster Nationals! The New Ghoul and I already have the routines down, so we can get a couple of volunteers and train them up in no time. Any takers?
<Hash=0x559C6B>	Great! They definitely won't be expecting that! Now, if we can keep the team under wraps until the actual Fear-off and we put on a fangtastic show, Cleo and Toralei will totally lose it!

And if we do happen to win, all the Cursed students won't know what to do with themselves. They'll be waiting for Cleo and the cursed fearleaders to get the winner's trophy, before they make their move. If that happens, Spookenkhamun's plans will completely fall apart! After all, orders are orders...
<Hash=0x6C588506>	So, when do we start?
<Hash=0x6A5881E0>	Great job everyone! We need more practice, but it was a great start! If we keep this up, even Cleo will be blown away! Let's meet up again after school and keep going!
<Hash=0x6B588373>	We can do this! I know we can! We got Cleo to drop the Amulet once and we'll do it again!
<Hash=0x64961920>	Ghoulia, and I, put our heads together and have come up with a pretty solid theory! Using the information we've gathered from the Hieropedia, we believe that all of this first started when Cleo received the Amulet from her father.

Her Amulet was pictured in the book, and the legends say that Spookenkhamun was imprisoned inside it, as punishment, by the Monster School Administrators.

He's obviously found a way to spread his 'control curse' using the Amulet. Ghoulia thinks that if the Amulet is destroyed, the curse will be made useless. Everyone will turn back into themselves. We think that this is our best chance - perhaps our only chance - to save the school!
<Hash=0x70962C04>	Wow, that's a totally great idea! But what could we use as a diversion?
<Hash=0xC8BB9512>	Come on New Ghoul. You're the best ghoul for the job! And we're all relying on you!
<Hash=0xC7BB937F>	Oh, thank you! You be extra careful Ghoul! We can't afford to lose you...
<Hash=0x829D9EF7>	That's over $100 per fearleader! None of us have that kinda cash, what are we gonna do?! We need the money by end of the day, so that we can enter the Monster Nationals...
<Hash=0x5E20E840>	We're almost there! Everything's coming together, all we have to do now is pull off the Cosmic fearleading routine to perfection!
<Hash=0x7B9D93F2>	As long as we stick together and work as a team, we've got this licked!!!
<Hash=0xE0025BBF>	You really think so, Lagoona?
<Hash=0xDE025899>	So, what next?
<Hash=0x9D51C3D4>	АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдеёжзийклмнопрстуфхцчшщъыьэюя
<Hash=0x7EAB6AF7>	No worries, I just thought I'd check. I'm always happy to lend a helping hand.
<Hash=0x7FAB6C8A>	OK... well it's really simple. First press <WHITE>&icoffin;</WHITE>	to bring up your iCoffin. Then choose an option from the Menu using <WHITE>&select;</WHITE>. You'll see Contacts, Messages and Maps. Select the MAPP option to bring up the school map. To exit the map, press <WHITE>&back;</WHITE>	and you'll put your iCoffin away.
<Hash=0x8CB7617F>	You know, being new and all, you should probably head on over to the Office to see Headmistress Bloodgood. No doubt you'll need to sign in or something. I've updated your iCoffin MAPP with the location of the Office. You'd better get going, you don't want to keep Bloodgood waiting. She might... um... lose her head!
<Hash=0x9F51C6FA>	Are you sure?
<Hash=0x9951BD88>	With a dead-pan sense of humor like that, you're gonna fit right in!!!
<Hash=0x9C51C241>	Welcome to Monster High, it's really nice to meet you! I love it when the school gets new blood, there's always a chance of making new friends...
<Hash=0x9B51C0AE>	Oh before I forget, you might find this new updated version of the iCoffin MAPP handy. It'll help you find your way around campus...
<Hash=0x9651B8CF>	Would you like me to explain how to use the iCoffin MAPP?
<Hash=0xE5513D88>	Hey, there you are! Draculaura, said that you'd be coming by. Let me introduce you to the Fearleading Team...
<Hash=0xD63B77A1>	Oh, I'm great at riddles! But this one is hard! What runs, has no feet... could it be a RIVER? Hm, no those letters don't appear to be part of the clue.
<Hash=0xE8514241>	There's no need to be shy, we're all friends here! The members of the Fearleading Team are just like a family. First up, we have my GFF Draculaura, who I believe you've already met...
<Hash=0xEA514567>	Next is my other GFF, Clawdeen. She's a werewolf, but don't let that scare you off. She's really into fashion and deep down she's just a puppy at heart...
<Hash=0xEC51488D>	Last, but certainly not least, we have Cleo the Fearleading Team's Captain. So, I guess you could say she's the 'mummy' of this family. Cleo's a really competetive spirit and a true perfectionist. She might be hard on us a lot of the time, but all that tuff-luv has made us far better Fearleaders, than we ever thought possible...
<Hash=0xD3358740>	Thanks sooo much for coming to the Gym early. All this has been really freaking me out! I got here and I heard weird noises coming from inside the Gym. I wasn't even game to take a peek, until you arrived! Who knows what's going on in there?
<Hash=0xEE4436E3>	But why? Why are you doing this? I thought you wanted to win the Monster Nationals!
<Hash=0xF0443A09>	You can't do this! It isn't right!
<Hash=0xF2443D2F>	Come on ghouls! Snap out of it! Clawdeen! Draculaura! Spectra! Catrine! Please wake up! Snap out of it! Say something, say anything!!!
<Hash=0xFF4B0D6B>	NNNNNOOOOOOOO!!!!
<Hash=0x14B1091>	That was waaay too close!!! It's just gotten real. There's something walking through the halls of Monster High, spreading its own brand of crazy, at an alarming rate. If we don't do anything soon, it'll take over the whole school!
<Hash=0x34B13B7>	So, whadda we do next?!
<Hash=0x1134C9F4>	So, Ghoulia knows something more about all this. Well, we need to find her!
<Hash=0x1434CEAD>	What about Ghoulia? I mean she's the smartest ghoul I know... she's sure to know more about what's going on here.
<Hash=0xF74B00D3>	I'm going to find her! Come and talk to us when you can.
<Hash=0xF64AFF40>	Hey! New Ghoul, you made it!
<Hash=0xD5358A66>	Alright, but I'm following your lead. You're a braver ghoul than I am...
<Hash=0xFA48C6F5>	Ghoulia, was just telling me what she'd dug up about Cleo's Amulet...
<Hash=0xF848C3CF>	Come on Ghoulia, tell the New Ghoul what you discovered about the Amulet!
<Hash=0xF348BBF0>	Great! Let's do it! I'll see you both there tomorrow at LUNCH.
<Hash=0xF448BD83>	I hope nothing else kooky happens between now and tomorrow AFTERNOON!
<Hash=0xD8358F1F>	Right... are you ready?
<Hash=0xDC35956B>	Oh it's alright. I'll be there right beside you if anything happens. Alright, come on!
<Hash=0xDB3593D8>	OH NO!!! Cleo, what's going on here?! Why are there new fearleaders practicing? It's so close to the Monster Nationals, it'll be a disaster to change the line-up!!!
<Hash=0x597747FE>	Wow, these pages don't paint a pretty picture. Let's see here... Thousands of years ago, King Spookenkhamun was the Headmaster of Pharaoh High, where all of Egypt's monsters and mythical creatures attended school. Unfortunately, like so many Kings, he yearned to rule the World. His role as Headmaster gave him access to students with incredible powers, so he began possessing them via a Curse and started assembling an army to do his bidding.
<Hash=0x5877466B>	His plan was stumbled upon by a younger Headmistress Bloodgood, who was visiting Pharaoh High to set-up a student exchange program. She reported him immediately, to the Monster School Administrators. As a result, Headmaster Spookenkhamun was banished into a gold amulet, where he could no longer harm, students, teachers and the Monster-World at large.
<Hash=0x577744D8>	It turns out, the gold amulet was inherited by Cleo's mom, from her estranged brother Spookenkhamun, when he disappeared without a trace. Of course, only Bloodgood and the Monster School Administrators knew where he really was. Trapped in the gold amulet for an eternity, no doubt planning his revenge...
<Hash=0x5D774E4A>	I think there's only one thing we can do. We need to warn Bloodgood. Show her the pages of the Hieropedia and tell her that her old nemesis Spookenkhamun is out to get her. Who knows, she might even call in the Monster School Administrators as back-up!
<Hash=0x5B774B24>	Yeah, that should work! How about this, tomorrow we meet outside Bloodgood's office. Then, we go in, show her the Hieropedia and she'll fix everything.
<Hash=0x5020108E>	So, does this book have a name?
<Hash=0xDC7A54CE>	A week!? We don't have much time!
<Hash=0xDA7A51A8>	Yeah, but in the meantime, be extra careful, it's becoming scary out there... and not in a scary-cool way!
<Hash=0xC77C7256>	OK then, better get some rest ghouls. We'll meet up again, tomorrow!
<Hash=0xCA7C770F>	Wow! The newbie is one brave ghoul, I don't know how she does it.
<Hash=0x53201547>	Hm, maybe someone doesn't want us to get to the bottom of what's going on at Monster High... Let's split up and look!
<Hash=0x542016DA>	Hey Ghoulia, I think I've found something! You said that the Hiero-thingy was bound in bandages, didn't you? Is this it?!
<Hash=0x47200263>	Hey Ghoulia, look what I found! I think this might be one of the pages you're looking for. It's got a picture of an artefact that looks exactly like Cleo's gold amulet. Does this help at all?
<Hash=0xC7A8612A>	Hey guys! So Ghoulia, how'd you do with the research? Do you really think we can stop this Spookenkhamun guy and break the curse?
<Hash=0x6610D8C8>	Ms. Bloodgood, are you OK?
<Hash=0x6C10E23A>	Huh!? But, how could you?
<Hash=0x6A10DF14>	Yes, but wait! How could...
<Hash=0x600E90BF>	Oh NO! Bloodgood's cursed!
<Hash=0x5E0E8D99>	Whadda we do now?! That plan's totally out the window. Without Bloodgood on our side, we're gonna have to stop this thing all by ourselves. Any ideas ghouls?!
<Hash=0x5B0E88E0>	OK then, Ghoulia, you continue doing more research, hopefully you'll find something that'll help. To make sure we know what's happening at the school, I'd suggest we do a little recon too.

Tomorrow, I'll go and spy on Cleo and the fearleaders, while the New Ghoul can search for some new recruits that haven't been cursed. How does that sound?
<Hash=0x690E9EEA>	Yeah well, desperate times call for desperate measures. It's time for all of us to monster up!!!
<Hash=0xC5A85E04>	And that's exactly what we don't have! OK ghouls, let's go tell Bloodgood what's happening.
<Hash=0x5D0C4D6F>	Let's get to it then! We'll go our separate ways and meet up tomorrow.
<Hash=0x5E0C4F02>	I can't believe I sounded so confident! Especially when all of this is sooo scary!
<Hash=0xA4CF2185>	(SMS via iCoffin) HEEEEEEEELLLLLLLPPPPP!!!! STUCK IN GYM. CURSED EVERYWHERE. CAN'T FIND WAY OUT WITHOUT BEING SEEN. COME QUICK!!! F. =(8-o)
<Hash=0x29121315>	So, how've you been going with recruiting un-cursed students? I hope it's better than my fumbled attempts at covert intel gathering.
<Hash=0x231209A3>	Oh thank goodness Lagoona and Catty are OK.
<Hash=0x25120CC9>	OK! A meeting of the un-cursed in the Library after school, so we can come up with a plan of action. That sounds great! I'll be there with bolts on. Be careful out there, I'll see you then...
<Hash=0xA1CF1CCC>	(hushed) Thanks for coming for me. I was sure I was a goner! There was no way I was getting out of here, without being caught. So what's the plan?
<Hash=0x9FCF19A6>	(hushed) Ghoul, you're a sly one, aren't you? The Fire Alarm is pure genius. When everyone evacuates, we'll be able to walk right outta here...
<Hash=0x57058F8C>	There! The Fire Alarm. If you pull that, then maybe we can buy some time to get out of here!
<Hash=0x9DCF1680>	Boy, that was close! Thanks for saving me!
<Hash=0x5677F34F>	I know the answer! It's Fearleading Camp! When you come away from Fearleading Camp you have a million stories! But you're not supposed to tell anyone any of them! Hm, but I suppose the clue "BLAIRRY" doesn't spell out Fearleading Camp.
<Hash=0x5BB5B99>	Happy birthday! So, did you get any cool presents?
<Hash=0x3BB5873>	That's totally voltageous! Cleo, you really pull it off...
<Hash=0x9EB87ADD>	Gee, I hope she's alright.
<Hash=0xB901166C>	Yeah, we all expected as much. Cleo's always late for practice on her birthday...
<Hash=0xB7011346>	Well... I mean, considering it's her birthday, who can blame her for being a bit late?!
<Hash=0x10202FCE>	Twice in one day, something strange really is going on! But what can it be? It's gotta be more than just a coincidence...
<Hash=0xE202CA8>	OH BOLTS!!! It was nothing... just a rumour I heard about some freshmen student. Don't worry about it...
<Hash=0x6216A1A0>	Hm, EGATS is the clue? Why would a spot-light be on someone if they're not performing? Unless it's not a someone!?
<Hash=0xEFCBA40C>	STOP!!! Where's Cleo?!
